ORDER_ID,USER_ID,PRODUCT_ID,BRAND_ID,UNIT_PRICE,QUANTITY,DATE,STORE_ID
32021043,15026364,215986,7985,21.27,4,2020-07-03 14:33:23.000,3517
32540688,13901751,297652,3933,24.99,1,2020-07-28 18:21:11.000,2192
32517458,14632976,210619,5933,22.99,1,2020-07-27 18:19:39.000,7763
32557858,14936711,207819,4913,48.29,1,2020-07-29 16:43:46.000,9092
32553313,15536497,204284,3188,24.45,1,2020-07-29 15:19:16.000,8489
32553313,15536497,202166,2083,2.31,3,2020-07-29 15:19:16.000,8489
32014983,14106965,292703,3284,13.69,1,2020-07-25 19:38:48.000,7859
32528568,15487536,204284,3188,24.45,1,2020-07-27 20:10:16.000,8489
32019023,14383900,207253,4721,41.99,2,2020-07-03 14:57:03.000,9104
32512913,10165289,205387,3863,49.99,1,2020-07-26 19:16:17.000,9605
31995793,15069767,203317,2669,13.99,2,2020-07-02 16:49:36.000,9778
31995793,15069767,204272,3039,19.09,1,2020-07-02 16:49:36.000,9778
32543213,15306571,207253,4721,29.99,1,2020-07-28 19:01:38.000,4823
32094773,15493031,213064,2884,11.99,1,2020-07-07 11:12:53.000,9404
32334143,15136093,206876,4550,21.99,1,2020-07-18 13:03:33.000,8295
32278088,14131368,296679,21697,19.99,1,2020-07-16 13:15:41.000,6005
32287683,15201164,214659,3505,16.99,5,2020-07-16 18:16:19.000,6262
32298288,15297594,202242,10281,104.99,1,2020-07-17 14:13:53.000,7512
32200318,12499658,246341,9443,12.99,2,2020-07-11 23:23:08.000,2034
32028113,12468102,204942,10439,15.40,1,2020-07-03 19:11:57.000,5439
32436153,10154843,231511,8486,7.99,2,2020-07-23 19:54:01.000,2115
32309903,13692275,230069,12025,4.99,1,2020-07-17 15:41:38.000,9654
32230113,15900936,294196,12643,39.99,1,2020-07-13 17:09:35.000,9950
32137698,15438409,263645,3007,25.99,2,2020-07-09 17:32:43.000,4772
32175068,15819812,308803,24402,5.99,1,2020-07-10 19:11:29.000,8484
32081643,14976154,204821,3508,29.99,3,2020-07-06 14:10:57.000,6710
32223043,15861929,289962,19653,29.99,1,2020-07-12 21:16:27.000,7178
32208398,15898013,215604,2436,21.99,1,2020-07-12 00:51:54.000,10452
32157898,13827594,207009,4598,35.99,1,2020-07-10 14:06:05.000,6440
32031143,14486032,203093,12474,7.99,1,2020-07-03 18:30:09.000,9101
32045283,14464208,205133,3704,9.99,1,2020-07-04 14:54:01.000,5877
31992258,13639864,204718,3455,10.79,1,2020-07-02 16:32:22.000,8232
31974078,15848293,207003,4595,31.99,1,2020-07-01 18:04:03.000,5709
32229103,14484814,289367,7029,19.94,1,2020-07-13 16:27:06.000,7786
32314953,14693171,303137,4674,36.99,1,2020-07-17 19:25:02.000,8201
32213448,15550587,202204,2108,9.99,1,2020-07-12 15:27:25.000,4524
32187693,15891445,203533,2807,299.99,1,2020-07-12 13:37:53.000,10509
32161433,15888314,221669,8883,13.99,1,2020-07-10 17:04:02.000,3494
32132143,15882614,205652,4007,40.00,1,2020-07-09 13:33:26.000,8941
32034173,14131948,203374,2706,15.95,1,2020-07-03 19:23:53.000,7584
